message,severity,attributes,tags,timestamp
==========================================,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""31143833-72df-455d-b1fd-c8c22f6b3877"",""replica"":""8e379096-e676-46c6-aa46-27fae4145f0b""}",2026-03-28T23:47:13.211089889Z
Starting WhatsApp Warmer Service,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""31143833-72df-455d-b1fd-c8c22f6b3877"",""replica"":""8e379096-e676-46c6-aa46-27fae4145f0b""}",2026-03-28T23:47:13.211096485Z
==========================================,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""31143833-72df-455d-b1fd-c8c22f6b3877"",""replica"":""8e379096-e676-46c6-aa46-27fae4145f0b""}",2026-03-28T23:47:13.211103580Z
Running Prisma migrations...,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""31143833-72df-455d-b1fd-c8c22f6b3877"",""replica"":""8e379096-e676-46c6-aa46-27fae4145f0b""}",2026-03-28T23:47:13.211109420Z
Starting Container,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""31143833-72df-455d-b1fd-c8c22f6b3877"",""replica"":""8e379096-e676-46c6-aa46-27fae4145f0b""}",2026-03-28T23:47:13.697270511Z
Prisma schema loaded from prisma/schema.prisma,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""31143833-72df-455d-b1fd-c8c22f6b3877"",""replica"":""8e379096-e676-46c6-aa46-27fae4145f0b""}",2026-03-28T23:47:14.479896808Z
"Datasource ""db"": SQLite database ""whatsapp.db"" at ""file:/app/data/whatsapp.db""",info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""31143833-72df-455d-b1fd-c8c22f6b3877"",""replica"":""8e379096-e676-46c6-aa46-27fae4145f0b""}",2026-03-28T23:47:14.479907085Z
,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""31143833-72df-455d-b1fd-c8c22f6b3877"",""replica"":""8e379096-e676-46c6-aa46-27fae4145f0b""}",2026-03-28T23:47:14.479914169Z
SQLite database whatsapp.db created at file:/app/data/whatsapp.db,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""31143833-72df-455d-b1fd-c8c22f6b3877"",""replica"":""8e379096-e676-46c6-aa46-27fae4145f0b""}",2026-03-28T23:47:14.479919766Z
,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""31143833-72df-455d-b1fd-c8c22f6b3877"",""replica"":""8e379096-e676-46c6-aa46-27fae4145f0b""}",2026-03-28T23:47:14.500300844Z
