message,timestamp,severity,tags,attributes
,2026-03-31T04:59:14.635820705Z,info,"{""serviceId"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m[Region: asia-southeast1][0m,2026-03-31T04:59:17.416047795Z,info,"{""serviceId"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m=========================,2026-03-31T04:59:17.431608188Z,info,"{""serviceId"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
Using Detected Dockerfile,2026-03-31T04:59:17.431660104Z,info,"{""serviceId"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
=========================,2026-03-31T04:59:17.431667008Z,info,"{""serviceId"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[0m,2026-03-31T04:59:17.431672528Z,info,"{""serviceId"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
context: d9hh-Cefq,2026-03-31T04:59:17.431691398Z,info,"{""serviceId"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load build definition from Dockerfile,2026-03-31T04:59:18.140003124Z,info,"{""serviceId"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:24b98389e01a8e4630787263071436fe50a4d95ec9e0ca6beedc077451f08a5d"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-03-31T04:59:18.140055441Z,info,"{""serviceId"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:24b98389e01a8e4630787263071436fe50a4d95ec9e0ca6beedc077451f08a5d"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-31T04:59:18.13312074Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-03-31T04:59:18.140074471Z,info,"{""serviceId"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-31T04:59:18.133160521Z"",""digest"":""sha256:24b98389e01a8e4630787263071436fe50a4d95ec9e0ca6beedc077451f08a5d"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-31T04:59:18.13312074Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-03-31T04:59:18.140095274Z,info,"{""serviceId"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:24b98389e01a8e4630787263071436fe50a4d95ec9e0ca6beedc077451f08a5d"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-31T04:59:18.133593016Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-03-31T04:59:18.189213963Z,info,"{""serviceId"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-31T04:59:18.182843471Z"",""digest"":""sha256:24b98389e01a8e4630787263071436fe50a4d95ec9e0ca6beedc077451f08a5d"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-31T04:59:18.133593016Z"",""type"":""vertex""}"
